source_key,event_families,publisher,official_source_url,archive_method,timestamp_convention,publication_timezone,available_fields,revision_policy,historical_availability,licensing_access_limitations,consensus_available,reliability_grade,use_decision
BLS_CPI,CPI; Core CPI,U.S. Bureau of Labor Statistics,https://www.bls.gov/schedule/news_release/cpi.htm,monthly schedule plus archived news releases,calendar explicitly states Eastern Time,America/New_York,release date/time; reference period; official release; headline and component actuals,subsequent months may revise seasonally adjusted series while unadjusted indexes are final,monthly schedules and release archive,no material restriction for public government releases,no,OFFICIAL_PRIMARY,use timing and official release provenance
BLS_PPI,PPI; Core PPI,U.S. Bureau of Labor Statistics,https://www.bls.gov/schedule/news_release/ppi.htm,monthly schedule plus archived news releases,calendar explicitly states Eastern Time,America/New_York,release date/time; reference period; official release; headline and component actuals,values are routinely revised for four months,monthly schedules and release archive,no material restriction for public government releases,no,OFFICIAL_PRIMARY,use timing and official release provenance
BLS_EMPLOYMENT,Nonfarm Payrolls; Unemployment Rate; Average Hourly Earnings,U.S. Bureau of Labor Statistics,https://www.bls.gov/schedule/news_release/empsit.htm,monthly schedule plus archived Employment Situation releases,calendar explicitly states Eastern Time,America/New_York,release date/time; reference period; payrolls; unemployment; wages; revisions,payroll estimates are revised in the next two monthly releases and annual benchmark processing,monthly schedules and archives,no material restriction for public government releases,no,OFFICIAL_PRIMARY,use timing and component clustering
BLS_JOLTS,JOLTS,U.S. Bureau of Labor Statistics,https://www.bls.gov/schedule/news_release/jolts.htm,monthly schedule plus archived JOLTS releases,calendar explicitly states Eastern Time,America/New_York,release date/time; reference period; openings; hires; separations,revised with the following monthly release and annual updates,monthly schedules and archives,no material restriction for public government releases,no,OFFICIAL_PRIMARY,use timing
BLS_IMPORT_EXPORT,Import Prices; Export Prices,U.S. Bureau of Labor Statistics,https://www.bls.gov/schedule/news_release/ximpim.htm,monthly schedule plus archived news releases,calendar explicitly states Eastern Time,America/New_York,release date/time; reference period; import/export index changes,monthly indexes may be revised in subsequent releases,monthly schedules and archives,no material restriction for public government releases,no,OFFICIAL_PRIMARY,use timing and paired component clustering
BLS_ECI,Employment Cost Index,U.S. Bureau of Labor Statistics,https://www.bls.gov/schedule/news_release/eci.htm,quarterly schedule plus archived releases,calendar explicitly states Eastern Time,America/New_York,release date/time; reference quarter; compensation components,seasonal factors and historical series may be revised,quarterly schedules and archives,no material restriction for public government releases,no,OFFICIAL_PRIMARY,use timing
BLS_PRODUCTIVITY,Productivity; Unit Labor Costs,U.S. Bureau of Labor Statistics,https://www.bls.gov/schedule/news_release/prod2.htm,quarterly preliminary and revised schedules plus archived releases,calendar explicitly states Eastern Time,America/New_York,release date/time; reference quarter; release version; productivity; labor costs,preliminary estimates are superseded by revised estimates and annual revisions,quarterly schedules and archives,no material restriction for public government releases,no,OFFICIAL_PRIMARY,use timing and preserve release_type
DOL_CLAIMS,Initial Jobless Claims; Continuing Claims,U.S. Department of Labor,https://www.dol.gov/newsroom/releases/eta,weekly ETA/DOL press release archive,individual releases state 8:30 a.m. Eastern,America/New_York,release timestamp; claims week; initial claims; insured unemployment; revisions,previous-week claims are commonly revised in the next release,weekly PDF and HTML archive,no material restriction for public government releases,no,OFFICIAL_ARCHIVE,use weekly schedule with holiday exceptions from actual archive
CENSUS_RETAIL,Retail Sales; Core Retail Sales,U.S. Census Bureau,https://www.census.gov/economic-indicators/calendar-listview.html,annual official indicator calendar plus release archive,calendar supplies local release time; U.S. agency convention is Eastern,America/New_York,release date/time; period covered; program identifier; release link,advance estimates are revised in later monthly retail reports,2025 and 2026 list-view calendars,no material restriction for public government releases,no,OFFICIAL_PRIMARY,use timing and paired component clustering
CENSUS_DURABLE,Durable Goods Orders; Core Durable Goods Orders,U.S. Census Bureau,https://www.census.gov/economic-indicators/calendar-listview.html,annual official indicator calendar plus M3 release archive,calendar supplies local release time; U.S. agency convention is Eastern,America/New_York,release date/time; period covered; advance/full release distinction,advance estimates are revised in the full Manufacturers' Shipments Inventories and Orders report,2025 and 2026 list-view calendars,no material restriction for public government releases,no,OFFICIAL_PRIMARY,use timing and paired component clustering
CENSUS_HOUSING_STARTS,Housing Starts; Building Permits,U.S. Census Bureau,https://www.census.gov/economic-indicators/calendar-listview.html,annual official indicator calendar plus New Residential Construction archive,calendar supplies local release time; U.S. agency convention is Eastern,America/New_York,release date/time; period covered; starts; permits; completions,monthly estimates and seasonal factors are revised,2025 and 2026 list-view calendars,no material restriction for public government releases,no,OFFICIAL_PRIMARY,use timing and paired component clustering
CENSUS_NEW_HOME,New Home Sales,U.S. Census Bureau,https://www.census.gov/economic-indicators/calendar-listview.html,annual official indicator calendar plus New Residential Sales archive,calendar supplies local release time; U.S. agency convention is Eastern,America/New_York,release date/time; period covered; sales estimates,prior months are routinely revised,2025 and 2026 list-view calendars,no material restriction for public government releases,no,OFFICIAL_PRIMARY,use timing
CENSUS_FACTORY,Factory Orders,U.S. Census Bureau,https://www.census.gov/economic-indicators/calendar-listview.html,annual official indicator calendar plus M3 full-report archive,calendar supplies local release time; U.S. agency convention is Eastern,America/New_York,release date/time; period covered; full report,prior estimates are revised as additional reports arrive,2025 and 2026 list-view calendars,no material restriction for public government releases,no,OFFICIAL_PRIMARY,use timing
CENSUS_CONSTRUCTION,Construction Spending,U.S. Census Bureau,https://www.census.gov/economic-indicators/calendar-listview.html,annual official indicator calendar plus construction-spending archive,calendar supplies local release time; U.S. agency convention is Eastern,America/New_York,release date/time; period covered; spending estimates,recent months are revised with each release and annual updates,2025 and 2026 list-view calendars,no material restriction for public government releases,no,OFFICIAL_PRIMARY,use timing
CENSUS_INVENTORIES,Business Inventories; Wholesale Inventories,U.S. Census Bureau,https://www.census.gov/economic-indicators/calendar-listview.html,annual official indicator calendar plus MTIS and wholesale archives,calendar supplies local release time; U.S. agency convention is Eastern,America/New_York,release date/time; period covered; inventory/sales program,advance and monthly estimates may be revised,2025 and 2026 list-view calendars,no material restriction for public government releases,no,OFFICIAL_PRIMARY,use timing
CENSUS_BEA_TRADE,Trade Balance,U.S. Census Bureau and U.S. Bureau of Economic Analysis,https://www.census.gov/economic-indicators/calendar-listview.html,joint-release calendar and archive,calendar supplies local release time; U.S. agency convention is Eastern,America/New_York,release date/time; period covered; goods and services balance,monthly values and seasonal factors are revised,2025 and 2026 calendars and joint archives,no material restriction for public government releases,no,OFFICIAL_PRIMARY,use timing
BEA_GDP,GDP advance; second estimate; third estimate,U.S. Bureau of Economic Analysis,https://www.bea.gov/news/schedule,annual/full release schedules and archived release pages,BEA schedule lists Eastern release times,America/New_York,release date/time; estimate vintage; reference quarter; official actuals,advance estimates are superseded by second and third estimates and later annual updates,full 2025 schedule and 2026 schedule/archive,no material restriction for public government releases,no,OFFICIAL_PRIMARY,use timing and preserve estimate vintage
BEA_PCE,Personal Income; Personal Spending; PCE Price Index; Core PCE Price Index,U.S. Bureau of Economic Analysis,https://www.bea.gov/news/schedule,annual/full release schedules and archived Personal Income and Outlays pages,BEA schedule lists Eastern release times,America/New_York,release date/time; reference month; official component actuals,monthly estimates are revised as source data and annual updates arrive,full 2025 schedule and 2026 schedule/archive,no material restriction for public government releases,no,OFFICIAL_PRIMARY,use timing and component clustering
FED_G17,Industrial Production; Capacity Utilization,Federal Reserve Board,https://www.federalreserve.gov/releases/g17/,release-date page; RSS/announcement archive; release pages,monthly releases are issued at 9:15 a.m. Eastern,America/New_York,release date/time; reference month; IP and utilization values; revision notices,monthly values are revised in later releases and an annual revision,release pages and announcement feed include shutdown-related delays,no material restriction for public Federal Reserve releases,no,OFFICIAL_PRIMARY,use actual publication timing including delayed 2025 releases
FED_FOMC,FOMC rate decision; statement; SEP; press conference; minutes,Federal Reserve Board,https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm,meeting calendar with statement minutes SEP and press-conference links,statements/rate decisions at 2:00 p.m.; press conferences at 2:30 p.m.; minutes generally 2:00 p.m. Eastern,America/New_York,meeting date; event type; statement/minutes links; SEP indicator,minutes are a later document for the same meeting and must remain a separate event,2025 and 2026 calendars,no material restriction for public Federal Reserve releases,no,OFFICIAL_PRIMARY,use separate monetary-policy category
NYFED_EMPIRE,Empire State Manufacturing Survey,Federal Reserve Bank of New York,https://www.newyorkfed.org/survey/empire/empiresurvey_overview.html,official survey archive and regional release calendar,released at or shortly after 8:30 a.m.,America/New_York,release date; reference month; survey indexes,survey release archive is vintage-specific; historical data files may later reflect corrections,official monthly archive,no material restriction for public Federal Reserve Bank releases,no,OFFICIAL_PRIMARY,use timing
