concept,original_nasdaq_rationale,nasdaq_specific_dependency,possible_xauusd_equivalent,supporting_evidence,contradicting_evidence,transferability_rating,recommended_test,risks_of_direct_transplantation
08:30 macro impulse,Scheduled U.S. data creates a pre-cash-open NQ move that practitioners may label manipulation.,NQ prices anticipated equity cash-open repricing and index constituents.,"Treat 08:30 as an event-time gold information shock, conditional on release category and standardized surprise.","S01-S03, S12-S15 show formal release timing and strong gold announcement effects.",S14 finds many releases have no detectable metal effect; S21 shows very rapid efficient adjustment in other futures.,Directly transferable,"Compare 08:30-08:35 absolute return and range on major, minor and no-release days; regress on standardized surprise.",Calling the move manipulation prejudges reversal and ignores efficient price discovery.
09:30 cash-equity open,Opening auction and cash/index arbitrage concentrate equity information and volume.,"Formal Nasdaq/NYSE 09:30 auction, constituent openings, cash-futures basis and ETF creation/redemption.","Potential cross-asset risk-sentiment or portfolio-rebalancing impulse in gold, tested after controlling for 08:30.",S07-S08 establish the auction; S18 supports a gold response to extreme equity shocks.,S09 and S16 show gold already trades and discovers price before 09:30; no controlled XAUUSD 09:30 edge was found.,Transferable with modification,"Estimate incremental 09:30 volatility/return with day fixed effects or matched controls including 08:30 impulse, news category and surprise.",Mistakes an equity-specific institutional open for a gold session open.
10:00 key open,Community reference to the open of the 10:00 candle after initial equity-open volatility.,No formal Nasdaq/NYSE session begins at 10:00; often tied to index-trader routines.,Use as a secondary event window and explicitly flag scheduled 10:00 releases.,S03-S05 show real 10:00 releases; S12 finds some 10:00 news effects; S30-S31 document the community heuristic.,No exchange source recognizes a 10:00 market open; S30-S31 provide no empirical proof.,Weakly transferable,Compare 10:00-10:30 on 10:00-release versus non-release days and test whether any residual clock effect remains.,Attributes macro-release repricing to a chart candle or community key-open narrative.
09:30 liquidity sweep,Cash-open volume may breach pre-market or 08:30 extremes before reversing.,Cash-auction order imbalances and index arbitrage.,Observable breach-and-reentry of the 08:30 impulse extreme or pre-news range after 09:30.,S24-S25 describe the practitioner pattern; S18 supports a conditional equity-to-gold channel.,S19 shows stop clusters can propagate continuation; S34 reports null results for OHLCV liquidity-grab families in MNQ.,Transferable with modification,"Compare post-09:30 breach/reentry outcomes with matched accepted breakouts, separately on news and non-news days.",Sweep labels can be assigned with hindsight and do not reveal order intent.
Judas swing,An opening false move against a presumed daily bias precedes the 'real' direction.,Kill-zone conventions and cash-open narrative are commonly derived from index/FX education.,Rename as a deterministic false-breakout-and-reversal outcome; do not encode intent.,S29 and S25 document the practitioner hypothesis.,S12-S13 support fast news price discovery; S19 supports continuation cascades; no gold-specific Judas study found.,Weakly transferable,"Test breach, close-back and MSS rules with causal confirmation; compare to all breakouts.",Bias and 'real direction' can be hindsight labels; high multiple-testing risk.
Liquidity sweep,Stops are assumed to cluster beyond session/swing extremes and the breach supplies liquidity.,"Reference levels often use overnight, pre-market and RTH structures specific to index futures.",Cross of a predeclared gold range/swing followed by a close back within a fixed number of bars.,S19 supports order clustering/cascades in FX; S32 supplies programmable practitioner geometry.,"S19 finds continuation after stop clusters, contradicting automatic-reversal claims; no XAU order-book proof.",Transferable with modification,"Test reversal and continuation conditional on breach size, close-back speed, news and surprise.",Retail XAUUSD is fragmented OTC/CFD; actual stops and centralized volume are unobserved.
Displacement,Large directional candle indicates aggressive repricing and validates MSS/FVG.,"None in geometry, though typical size thresholds depend on NQ volatility and tick value.","Candle body/range standardized by rolling same-time gold volatility, close location and optional FVG.",S12-S15 support unusually large event-time gold moves; S33 captures practitioner use.,Large bars can be public-news price discovery rather than institutional directional commitment.,Directly transferable,Sensitivity over body/median and true-range/ATR thresholds; evaluate forward returns without conditioning on future bars.,Absolute-point rules fail across gold price and volatility regimes.
Market structure shift,Post-sweep body close through a confirmed swing signals reversal.,Swing scale calibrated to NQ's microstructure and chosen chart timeframe.,Causal break of the most recent confirmed 1-minute or 3-minute pivot with displacement.,S33 provides practitioner definition; deterministic swing logic is implementable.,No independent evidence that this pattern has gold expectancy; pivot confirmation introduces delay.,Transferable with modification,Compare 1-minute and 3-minute MSS; vary pivot width and displacement filter.,Using future bars to identify pivots causes look-ahead; loose swing selection creates researcher discretion.
Fair value gap,Three-candle wick non-overlap marks a fast NQ delivery zone and potential retracement entry.,"No formal dependency, but frequency and tick size are instrument/timeframe specific.","Identical three-bar gap geometry on gold, treated only as a bar pattern.",S26 defines reproducible geometry; S13 documents fast event moves and wider spreads.,No independent evidence that the zone is 'fair value' or must fill; gaps may be microstructure artifacts.,Transferable with modification,"Test first proximal, midpoint and distal touch after causal creation, net of event-time costs.",Semantic institutional claims and fill expectation may not transfer; bid/ask gaps differ from OHLC gaps.
Rejection block,Wick at an index liquidity level is treated as a future entry zone.,Often selected using discretionary RTH highs/lows and visible chart narrative.,Mechanically define body-to-wick zone on a sweep/reentry candle with a minimum wick fraction.,S28 documents wick-zone terminology.,No Tier 1/2 validation; competing definitions select one or multiple candles.,Insufficient evidence,Include only as a separately labeled experimental geometry with predeclared wick and pivot rules.,High degrees of freedom and hindsight candle selection.
